Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,3.2e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH4,CH4 Peak Detect
-1.95674e-02,1.8,1.76
-1.95670e-02,1.8,1.84
-1.95667e-02,1.76,1.76
-1.95664e-02,1.76,1.8
-1.95661e-02,1.8,1.76
-1.95658e-02,1.8,1.8
-1.95654e-02,1.8,1.76
-1.95651e-02,1.8,1.84
-1.95648e-02,1.76,1.76
-1.95645e-02,1.76,1.84
-1.95642e-02,1.8,1.76
-1.95638e-02,1.8,1.84
-1.95635e-02,1.8,1.72
-1.95632e-02,1.8,1.84
-1.95629e-02,1.76,1.76
-1.95626e-02,1.8,1.84
-1.95622e-02,1.8,1.72
-1.95619e-02,1.8,1.84
-1.95616e-02,1.8,1.76
-1.95613e-02,1.8,1.84
-1.95610e-02,1.76,1.76
-1.95606e-02,1.8,1.84
-1.95603e-02,1.76,1.76
-1.95600e-02,1.8,1.84
-1.95597e-02,1.8,1.76
-1.95594e-02,1.8,1.84
-1.95590e-02,1.76,1.76
-1.95587e-02,1.8,1.84
-1.95584e-02,1.8,1.76
-1.95581e-02,1.8,1.84
-1.95578e-02,1.76,1.76
-1.95574e-02,1.8,1.84
-1.95571e-02,1.76,1.76
-1.95568e-02,1.8,1.8
-1.95565e-02,1.76,1.76
-1.95562e-02,1.76,1.84
-1.95558e-02,1.8,1.76
-1.95555e-02,1.8,1.84
-1.95552e-02,1.76,1.76
-1.95549e-02,1.8,1.84
-1.95546e-02,1.8,1.76
-1.95542e-02,1.8,1.84
-1.95539e-02,1.76,1.76
-1.95536e-02,1.76,1.8
-1.95533e-02,1.76,1.76
-1.95530e-02,1.76,1.84
-1.95526e-02,1.76,1.72
-1.95523e-02,1.8,1.84
-1.95520e-02,1.76,1.76
-1.95517e-02,1.76,1.8
-1.95514e-02,1.76,1.76
-1.95510e-02,1.8,1.84
-1.95507e-02,1.76,1.76
-1.95504e-02,1.8,1.84
-1.95501e-02,1.76,1.76
-1.95498e-02,1.76,1.84
-1.95494e-02,1.76,1.72
-1.95491e-02,1.76,1.84
-1.95488e-02,1.8,1.76
-1.95485e-02,1.8,1.84
-1.95482e-02,1.76,1.76
-1.95478e-02,1.76,1.84
-1.95475e-02,1.8,1.76
-1.95472e-02,1.8,1.84
-1.95469e-02,1.76,1.76
-1.95466e-02,1.8,1.84
-1.95462e-02,1.76,1.76
-1.95459e-02,1.8,1.84
-1.95456e-02,1.8,1.76
-1.95453e-02,1.76,1.84
-1.95450e-02,1.8,1.76
-1.95446e-02,1.8,1.84
-1.95443e-02,1.8,1.76
-1.95440e-02,1.8,1.84
-1.95437e-02,1.76,1.76
-1.95434e-02,1.76,1.84
-1.95430e-02,1.8,1.76
-1.95427e-02,1.76,1.84
-1.95424e-02,1.8,1.72
-1.95421e-02,1.76,1.84
-1.95418e-02,1.8,1.76
-1.95414e-02,1.76,1.84
-1.95411e-02,1.8,1.76
-1.95408e-02,1.8,1.84
-1.95405e-02,1.8,1.72
-1.95402e-02,1.76,1.84
-1.95398e-02,1.8,1.72
-1.95395e-02,1.8,1.84
-1.95392e-02,1.76,1.76
-1.95389e-02,1.76,1.84
-1.95386e-02,1.8,1.76
-1.95382e-02,1.76,1.84
-1.95379e-02,1.76,1.76
-1.95376e-02,1.8,1.84
-1.95373e-02,1.8,1.76
-1.95370e-02,1.76,1.84
-1.95366e-02,1.8,1.76
-1.95363e-02,1.76,1.84
-1.95360e-02,1.76,1.76
-1.95357e-02,1.76,1.84
-1.95354e-02,1.8,1.76
-1.95350e-02,1.8,1.84
-1.95347e-02,1.8,1.76
-1.95344e-02,1.76,1.84
-1.95341e-02,1.8,1.76
-1.95338e-02,1.76,1.84
-1.95334e-02,1.76,1.72
-1.95331e-02,1.76,1.84
-1.95328e-02,1.8,1.76
-1.95325e-02,1.8,1.84
-1.95322e-02,1.8,1.76
-1.95318e-02,1.8,1.84
-1.95315e-02,1.8,1.76
-1.95312e-02,1.8,1.84
-1.95309e-02,1.8,1.76
-1.95306e-02,1.8,1.84
-1.95302e-02,1.8,1.76
-1.95299e-02,1.8,1.84
-1.95296e-02,1.8,1.76
-1.95293e-02,1.8,1.84
-1.95290e-02,1.8,1.76
-1.95286e-02,1.76,1.8
-1.95283e-02,1.8,1.76
-1.95280e-02,1.8,1.84
-1.95277e-02,1.76,1.76
-1.95274e-02,1.76,1.8
-1.95270e-02,1.76,1.76
-1.95267e-02,1.76,1.8
-1.95264e-02,1.8,1.76
-1.95261e-02,1.76,1.84
-1.95258e-02,1.76,1.72
-1.95254e-02,1.8,1.84
-1.95251e-02,1.76,1.76
-1.95248e-02,1.8,1.8
-1.95245e-02,1.76,1.76
-1.95242e-02,1.8,1.84
-1.95238e-02,1.8,1.76
-1.95235e-02,1.76,1.8
-1.95232e-02,1.8,1.76
-1.95229e-02,1.76,1.84
-1.95226e-02,1.76,1.76
-1.95222e-02,1.8,1.84
-1.95219e-02,1.8,1.76
-1.95216e-02,1.76,1.84
-1.95213e-02,1.76,1.72
-1.95210e-02,1.76,1.84
-1.95206e-02,1.8,1.76
-1.95203e-02,1.8,1.84
-1.95200e-02,1.76,1.76
-1.95197e-02,1.8,1.84
-1.95194e-02,1.8,1.76
-1.95190e-02,1.8,1.84
-1.95187e-02,1.8,1.76
-1.95184e-02,1.8,1.84
-1.95181e-02,1.8,1.76
-1.95178e-02,1.8,1.84
-1.95174e-02,1.8,1.76
-1.95171e-02,1.8,1.84
-1.95168e-02,1.8,1.76
-1.95165e-02,1.8,1.84
-1.95162e-02,1.8,1.76
-1.95158e-02,1.8,1.84
-1.95155e-02,1.8,1.76
-1.95152e-02,1.76,1.84
-1.95149e-02,1.76,1.76
-1.95146e-02,1.76,1.84
-1.95142e-02,1.76,1.76
-1.95139e-02,1.8,1.84
-1.95136e-02,1.76,1.76
-1.95133e-02,1.8,1.8
-1.95130e-02,1.8,1.76
-1.95126e-02,1.8,1.84
-1.95123e-02,1.8,1.72
-1.95120e-02,1.8,1.84
-1.95117e-02,1.8,1.76
-1.95114e-02,1.8,1.84
-1.95110e-02,1.8,1.72
-1.95107e-02,1.8,1.84
-1.95104e-02,1.8,1.76
